country,state,county,lat,lng,bed_type,beds,population,year,source,countynew
US,AK,aleutians east,63.588753,-154.493062,ICU,0,3338,2019,khn,Aleutians East
US,AK,aleutians west,63.588753,-154.493062,ICU,0,5784,2019,khn,Aleutians West
US,AK,anchorage,63.588753,-154.493062,ACUTE,2.182916,298225,2018,arcgis,Anchorage
US,AK,anchorage,63.588753,-154.493062,ICU,0.244782,298225,2019,khn,Anchorage
US,AK,anchorage,63.588753,-154.493062,OTHER,0.191131,298225,2019,arcgis,Anchorage
US,AK,anchorage,63.588753,-154.493062,PSYCHIATRIC,0.938888,298225,2018,arcgis,Anchorage
US,AK,bethel,63.588753,-154.493062,ICU,2.060478,17957,2018,arcgis,Bethel
US,AK,bristol bay,63.588753,-154.493062,ICU,0,917,2019,khn,Bristol Bay
US,AK,denali,63.588753,-154.493062,ICU,0,2303,2019,khn,Denali
US,AK,dillingham,63.588753,-154.493062,ICU,2.814636,4974,2018,arcgis,Dillingham
US,AK,fairbanks north star,63.588753,-154.493062,ACUTE,2.169328,100031,2018,arcgis,Fairbanks North Star
US,AK,fairbanks north star,63.588753,-154.493062,ICU,0.12996,100031,2019,khn,Fairbanks North Star
US,AK,haines,63.588753,-154.493062,ICU,0,2537,2019,khn,Haines
US,AK,hoonah-angoon,63.588753,-154.493062,ICU,0,2146,2019,khn,Hoonah-Angoon
US,AK,juneau,63.588753,-154.493062,ACUTE,1.757415,32434,2019,arcgis,Juneau
US,AK,juneau,63.588753,-154.493062,ICU,0.277487,32434,2019,khn,Juneau
US,AK,kenai peninsula,63.588753,-154.493062,ACUTE,2.656959,57961,2018,arcgis,Kenai Peninsula
US,AK,kenai peninsula,63.588753,-154.493062,ICU,0.862649,57961,2018,arcgis,Kenai Peninsula
US,AK,ketchikan gateway,63.588753,-154.493062,ICU,3.928701,13745,2018,arcgis,Ketchikan Gateway
US,AK,kodiak island borough,63.588753,-154.493062,ICU,0,13773,2019,khn,Kodiak Island Borough
US,AK,kusilvak,63.588753,-154.493062,ICU,0,8129,2019,khn,Kusilvak
US,AK,lake and peninsula,63.588753,-154.493062,ICU,0,1301,2019,khn,Lake And Peninsula
US,AK,matanuska-susitna,63.588753,-154.493062,ACUTE,0.731695,101135,2018,arcgis,Matanuska-Susitna
US,AK,matanuska-susitna,63.588753,-154.493062,ICU,0.138429,101135,2019,khn,Matanuska-Susitna
US,AK,nome,63.588753,-154.493062,ACUTE,3.647786,9869,2018,arcgis,Nome
US,AK,nome,63.588753,-154.493062,ICU,0,9869,2019,khn,Nome
US,AK,north slope borough,63.588753,-154.493062,ICU,2.04981,9757,2019,arcgis,North Slope Borough
US,AK,northwest arctic borough,63.588753,-154.493062,ICU,2.2035,7715,2018,arcgis,Northwest Arctic Borough
US,AK,petersburg borough,63.588753,-154.493062,ICU,0,3275,2019,khn,Petersburg Borough
